"f","r","K","q"
-15.1011733271348,0.696983532656516,21618.2069250244,0.0000335168120939601
-15.1011733277353,0.696983528870446,21618.2069250244,0.0000335168120939601
-15.101173327131,0.696983530763481,21618.2069685702,0.0000335168120939601
-15.1011733277392,0.696983530763481,21618.2068814787,0.0000335168120939601
-15.1011733269808,0.696983530763481,21618.2069250244,0.000033516818855392
-15.1011733278526,0.696983530763481,21618.2069250244,0.0000335168053325295
-15.1011733487905,0.697009234810637,21617.6069585054,0.000033517920832795
-15.1011733480444,0.697009251145267,21617.6069585054,0.000033517920832795
-15.101173348016,0.697009218476008,21617.6069585054,0.000033517920832795
-15.1011733480542,0.697009234810637,21617.6073317003,0.000033517920832795
-15.1011733480374,0.697009234810637,21617.6065853105,0.000033517920832795
-15.1011733475528,0.697009234810637,21617.6069585054,0.0000335179599233033
-15.1011733481195,0.697009234810637,21617.6069585054,0.0000335178817423324
-15.1011733488258,0.697009710372155,21617.5959207279,0.0000335179322714765
-15.1011733455323,0.697009744420195,21617.5959207279,0.0000335179322714765
-15.1011733455126,0.697009676324116,21617.5959207279,0.0000335179322714765
-15.1011733455208,0.697009710372155,21617.5967083204,0.0000335179322714765
-15.1011733454969,0.697009710372155,21617.5951331354,0.0000335179322714765
-15.1011733456406,0.697009710372155,21617.5959207279,0.0000335180049249473
-15.1011733454172,0.697009710372155,21617.5959207279,0.0000335178596181633
-15.1011733488258,0.697009710372155,21617.5959207279,0.0000335179322714765
